,파일명,형식,크기,모드,가로크기,세로크기
0,./images/강아지1.jpg,JPEG,"(377, 400)",RGB,377,400
1,./images/강아지10.jpg,JPEG,"(599, 400)",RGB,599,400
2,./images/강아지2.jpg,JPEG,"(584, 400)",RGB,584,400
3,./images/강아지3.jpg,JPEG,"(433, 400)",RGB,433,400
4,./images/강아지4.jpg,JPEG,"(356, 400)",RGB,356,400
5,./images/강아지5.jpg,JPEG,"(564, 400)",RGB,564,400
6,./images/강아지6.jpg,JPEG,"(533, 400)",RGB,533,400
7,./images/강아지7.jpg,JPEG,"(537, 400)",RGB,537,400
8,./images/강아지8.jpg,JPEG,"(533, 400)",RGB,533,400
9,./images/강아지9.jpg,JPEG,"(510, 400)",RGB,510,400
10,./images/고양이1.jpg,JPEG,"(683, 512)",RGB,683,512
11,./images/고양이2.jpg,JPEG,"(650, 433)",RGB,650,433
12,./images/고양이3.jpg,JPEG,"(819, 512)",RGB,819,512
13,./images/고양이4.jpg,JPEG,"(500, 321)",RGB,500,321
14,./images/고양이5.jpg,JPEG,"(683, 512)",RGB,683,512
15,./images/고양이6.jpg,JPEG,"(600, 375)",RGB,600,375
