,사용일자,호선명,역명,승차송승객수,하차총승객수
0,20220710,1호선,서울역,30175,28550
1,20220710,1호선,시청,8580,8041
2,20220710,1호선,종각,14022,12592
3,20220710,1호선,종로3가,14891,12767
4,20220710,1호선,종로5가,9810,9665
5,20220710,1호선,동대문,10014,10464
6,20220710,1호선,신설동,7527,7502
7,20220710,1호선,제기동,10204,10663
8,20220710,1호선,청량리(서울시립대입구),12819,13189
9,20220710,1호선,동묘앞,10958,10851
10,20220710,2호선,시청,6970,5670
11,20220710,2호선,을지로입구,17556,16931
12,20220710,2호선,을지로3가,9154,8849
13,20220710,2호선,을지로4가,4000,3825
14,20220710,2호선,동대문역사문화공원(DDP),8492,10378
15,20220710,2호선,신당,8116,8365
16,20220710,2호선,상왕십리,7395,7366
17,20220710,2호선,왕십리(성동구청),10078,8855
18,20220710,2호선,한양대,2589,2901
19,20220710,2호선,뚝섬,10459,10789
20,20220710,2호선,성수,15562,16957
21,20220710,2호선,건대입구,27328,29135
22,20220710,2호선,구의(광진구청),11818,11765
23,20220710,2호선,강변(동서울터미널),25106,23256
24,20220710,2호선,잠실나루,5677,5788
25,20220710,2호선,잠실(송파구청),53991,50798
26,20220710,2호선,잠실새내,12386,12958
27,20220710,2호선,종합운동장,9814,10937
28,20220710,2호선,삼성(무역센터),32636,31402
29,20220710,2호선,선릉,14125,12292
30,20220710,2호선,역삼,11554,12726
31,20220710,2호선,강남,37133,35597
32,20220710,2호선,교대(법원.검찰청),11303,12523
33,20220710,2호선,서초,13277,11846
34,20220710,2호선,방배,7215,7774
35,20220710,2호선,사당,24676,26737
36,20220710,2호선,낙성대(강감찬),16671,17351
37,20220710,2호선,서울대입구(관악구청),27091,28154
38,20220710,2호선,봉천,13299,12668
39,20220710,2호선,신림,37495,36828
40,20220710,2호선,신대방,15752,15314
41,20220710,2호선,구로디지털단지,25222,24884
42,20220710,2호선,대림(구로구청),15859,16131
43,20220710,2호선,신도림,28877,29650
44,20220710,2호선,문래,7409,7854
45,20220710,2호선,영등포구청,7673,7975
46,20220710,2호선,당산,8453,9285
47,20220710,2호선,합정,21751,23608
48,20220710,2호선,홍대입구,58059,57719
49,20220710,2호선,신촌,25382,24808
50,20220710,2호선,이대,7314,8047
51,20220710,2호선,아현,5519,5448
52,20220710,2호선,충정로(경기대입구),3812,4113
53,20220710,2호선,용답,1764,1650
54,20220710,2호선,신답,769,833
55,20220710,2호선,신설동,3129,3030
56,20220710,2호선,도림천,506,467
57,20220710,2호선,양천구청,3336,3517
58,20220710,2호선,신정네거리,5570,5562
59,20220710,2호선,용두(동대문구청),1092,1064
60,20220710,3호선,지축,2744,2541
61,20220710,3호선,구파발,12896,13248
62,20220710,3호선,연신내,22357,21045
63,20220710,3호선,불광,9886,11473
64,20220710,3호선,녹번,7547,6799
65,20220710,3호선,홍제,9603,9145
66,20220710,3호선,무악재,1872,1993
67,20220710,3호선,독립문,4127,4369
68,20220710,3호선,경복궁(정부서울청사),14680,15816
69,20220710,3호선,안국,11627,11765
70,20220710,3호선,종로3가,4430,5612
71,20220710,3호선,을지로3가,3645,3351
72,20220710,3호선,동대입구,5237,5671
73,20220710,3호선,약수,6696,6503
74,20220710,3호선,금호,4295,4177
75,20220710,3호선,옥수,5020,5290
76,20220710,3호선,압구정,14896,15525
77,20220710,3호선,신사,13923,14083
78,20220710,3호선,잠원,2173,2245
79,20220710,3호선,고속터미널,47291,43582
