,title,link,image,author,discount,publisher,pubdate,isbn,description
0,"AI는 양심이 없다 (인간의 죽음, 존재, 신뢰를 흔드는 인공지능 바로 보기)",https://search.shopping.naver.com/book/catalog/32463544009,https://shopping-phinf.pstatic.net/main_3246354/32463544009.20220527085249.jpg,김명주,16920,헤이북스,20220502,9791188366330,"인공지능에게 배신당하지 않고 살아가려면 어떻게 해야 할까?
“인공지능이 인류의 마지막 기술일 수 있다!”는 글로벌 리더들의 경고가 끊이지 않는다. 저자는 우리를 상대로 인공지능이 이미 흔들어대거나 조만간 흔들 이슈를 사례별로 정리하면서 인공지능에 의한 부작용과 역기능, 위험성을 모두 법으로 포괄해내기에는 인공지능의 발전 속도와 영역 확산으로 인해 불가능하다고 말한다. 미래에 인공지능에게 배신당하지 않고 함께 살아가려면 지금 방어적 준비로써 ‘인공지능 윤리’에 대한 사회적 담론을 제안한다. 네이버, 카카오, KT 등 국내 최고 IT 기업의 인공지능연구 책임자들이 ‘AI 윤리의 교과서, 필독서’라며 강력하게 이 책을 추천하고 있다."
1,"비전공자도 이해할 수 있는 AI 지식 (구글 검색부터 유튜브 추천, 파파고 번역과 내비게이션까지 일상을 움직이는 인공지능 이해하기)",https://search.shopping.naver.com/book/catalog/32438161867,https://shopping-phinf.pstatic.net/main_3243816/32438161867.20220527034827.jpg,박상길,17820,반니,20220304,9791167960221,"“미래는 인공지능을 이해하는 사람의 것이다 ”

카카오ㆍ현대자동차 AI 팀장이 들려주는 세상에서 가장 쓸모 있는 IT 안내서

■디지털 기술 시대에 살아남기 위한, 교양으로서의 AI 수업
최근 모나리자의 실제 얼굴이 화제에 올랐다. 옅은 눈썹에 묘한 미소를 지은 얼굴은 수많은 관람객의 상상에만 존재하던 모나리자의 모습이었다. 모나리자의 사진을 찾아내기라도 한 걸까? 실은 이 이미지를 만든 건 인공지능이다. 한 콘텐츠 크리에이터가 인공지능 프로그램 아트브리더와 딥페이크 기술을 활용하는 페이스앱을 이용해 구현한 것이다. 이제 AI 기술은 누구나 놀라운 결과물을 낼 수 있게 하는 도구가 되었다. AI가 처음 세상에 알려지기 시작했을 때는 인공지능이 인간을 일자리에서 모조리 내몰 거라는 두려움도 있었다. 하지만 실제로 AI 의사나 기자가 등장하고 이들을 현장에서 경험해본바, 이제는 기대의 목소리가 커지고 있는 것이 사실이다. 실제로는 인공지능이 인간을 대체하기보다는 인간이 인공지능 기술을 도구 삼아 업무의 효율을 높이고 고도화하는 방향으로 가리라는 것이다.
이 책, 《비전공자도 이해할 수 있는 AI 지식》은 이처럼 인공지능이란 도구가 주어진 시대에, 다양한 사람이 인공지능을 이해하고 자신의 분야에서 활용할 수 있게 돕기 위해 쓰였다. 관련 공부를 해본 적 없는 사람들, 과학ㆍ수학이 낯선 문과생까지도 인공지능 기술의 역사와 원리를 이해할 수 있게 교양 수준으로 쉽게 풀어냈다. 저자는 인공지능 기술을 곧 우리 삶 전반에서 일상적으로 활용하게 될 것이라고 말한다. 처음에 특정 집단만 사용했던 스마트폰이 채 10년도 되지 않아 우리나라 성인 95%가 사용하게 된 것처럼 말이다. 이제는 마냥 인공지능을 두려워하거나 어려워할 게 아니라, 농업부터 사무직까지 어떤 분야에서든 인공지능을 접목하고 활용해 줄 아는 사람만이 시대의 요구에 따라갈 수 있다고 말한다.
저자는 카카오에서 챗봇을, 다음에서 검색엔진을 만들었고 지금은 현대자동차 AI팀 리더를 맡고 있는 AI 기술 현장의 전문가다. 이러한 경험을 바탕으로 저자는 인공지능을 둘러싼 추상적인 이야기가 아닌 실제로 현실을 바꾸고 있는, 가장 쓸모 있는 AI 이야기를 우리에게 들려준다. 아울러 어려운 수식 대신 300컷이 넘는 그림이 이해를 돕는다. 개발자로 일하다 IT 전문 일러스트레이터가 된 정진호 저자는 인공지능의 원리를 간단한 그림으로 누구나 쉽게 이해할 수 있게 풀어냈다.
지금도 일상에서 보이지 않는 곳에서는 인공지능 기술이 활약하고 있다. 그리고 이러한 쓰임은 점점 더 커질 것이다. 따라서 지금 우리에게 필요한 건 인공지능을 향한 두려움이 아니라 그것의 유용함을 깨닫고 이해하는 것이다. 이 책을 읽고 자신이 공부하고 일하는 분야에서 인공지능을 어떻게 접목할지 고민할 때, 그것은 그 자체로 새로운 기회가 될 것이다."
2,AI는 차별을 인간에게서 배운다 (인간과 기술의 공존을 위해 다시 세우는 정의),https://search.shopping.naver.com/book/catalog/32445707707,https://shopping-phinf.pstatic.net/main_3244570/32445707707.20220527024921.jpg,고학수,14400,21세기북스,20220126,9788950999018,"서울대 가지 않아도 들을 수 있는 명강의, ‘서가명강’
인간과 기술의 공존을 위해 던지는 가장 뜨거운 쟁점들

대한민국 최고의 명품 강의를 책으로 만난다! 현직 서울대 교수진의 강의를 엄선한 ‘서가명강(서울대 가지 않아도 들을 수 있는 명강의)’ 시리즈의 스물두 번째 책이 출간됐다. 역사, 철학, 과학, 의학, 예술 등 각 분야 최고의 서울대 교수진들의 명강의를 책으로 옮긴 서가명강 시리즈는 독자들에게 지식의 확장과 배움의 기쁨을 선사하고 있다.
『AI는 차별을 인간에게서 배운다』는 한국인공지능법학회장과 서울대 인공지능정책 이니셔티브 공동디렉터를 맡고 있는 서울대학교 법학전문대학원 고학수 교수가 쓴 책으로, 새로운 기술이 우리 사회에 미치는 영향은 무엇인지, 제도와 정책은 어떻게 대응하고 변화해야 하는지에 대한 고민을 담고 있다. 이 책에서는 인공지능이 어디까지 왔는지 진단하고, 인공지능의 활용으로 파생한 문제와 논란을 짚어보며, 우리 사회가 어떤 준비를 해야 할지 알아본다."
3,AI는 세상을 어떻게 바꾸는가 (장동선 박사의 인공지능 이야기),https://search.shopping.naver.com/book/catalog/32480521020,https://shopping-phinf.pstatic.net/main_3248052/32480521020.20220527053817.jpg,장동선,10350,김영사,20220131,9788934949213,"4차 산업혁명과 인공지능 시대, 우리의 삶은 어떻게 변할까
지식 라이브러리 〈굿모닝 굿나잇〉 ‘인공지능 편’

각 분야 최고의 학자와 연구자가 미래 세대를 위해 만든 〈굿모닝 굿나잇〉 시리즈 6번째 책, 《AI는 세상을 어떻게 바꾸는가》. 인공지능 기술의 역사와 발전, 기초 개념과 원리는 물론 사회 트렌드와 미래 예측까지 한 권에 담았다. 독일 막스플랑크 바이오사이버네틱스 연구소에서 박사학위를 받은 세계적 뇌과학자이자 과학 커뮤니케이터 장동선 박사의 스토리텔링을 통해 청소년부터 성인까지 읽을 수 있도록 재미와 지식 모두를 잡았다. 인간과 인공지능이 함께 살아가는 미래를 대비하는 필수 교양서. 

ㆍ 인공지능은 어떻게 태어나고 발전했을까?
ㆍ 인공지능에는 어떤 핵심 기술이 필요할까?
ㆍ SF 영화나 소설 속 상상들은 실제로 이루어질 수 있을까?
ㆍ 생각하는 로봇을 인간과 같은 생명으로 봐야 할까?
ㆍ 인공지능과 함께하는 미래는 유토피아일까?"
4,AI와 인간 (알파고는 어떻게 이세돌을 이겼을까?),https://search.shopping.naver.com/book/catalog/32843047620,https://shopping-phinf.pstatic.net/main_3284304/32843047620.20220614095657.jpg,달시 패티슨,11700,다봄,20220617,9791192148151,"AI 알파고가 인간 이세돌을 이겼다!
 AI가 인간의 능력을 뛰어넘는 세상이 올까?

2016년 3월. 세상을 떠들썩하게 달군 화제의 사건이 있었습니다. 바로 구글 딥마인드가 개발한 AI(인공지능) 알파고와 세계 최고 실력의 바둑 기사 이세돌과의 대결이었습니다. ‘과학자처럼’ 시리즈 세 번째 이야기 《AI와 인간 : 알파고는 이세돌을 어떻게 이겼을까?》는 바로 2016년 3월 9일부터 일주일 동안 열린 ‘구글 딥마인드 챌린지 매치’를 기록하고 있습니다. 
당시 알파고와 이세돌의 대결은 알파고의 승리로 끝이 납니다. 그러자 인공지능과 인간이 함께 살 미래에 관한 다양한 예측이 흘러나오기 시작했고 그에 따른 기대와 우려는 지금까지도 이어지고 있습니다. 
과연 AI가 인간의 능력을 뛰어넘는 세상이 올까요? 《AI와 인간 : 알파고는 이세돌을 어떻게 이겼을까?》는 AI를 대표하는 알파고와 인간을 대표하는 이세돌의 세기의 바둑 대결을 이야기하면서도, AI와 인간을 대결 구도 안에서만 보지 말기를 권합니다. 대신 과학기술의 발달이 우리 생활에 어떤 영향을 끼칠까 생각해 보자고, 인공지능과 인간이 공존하는 미래가 어떨지 상상해 보자고 제안합니다. 과학자처럼!"
5,노코딩 AI (코딩없이 AI 만들기),https://search.shopping.naver.com/book/catalog/32958472636,https://shopping-phinf.pstatic.net/main_3295847/32958472636.20220622070147.jpg,하세정,16200,예미,20220620,9791189877880,"영문법 잘한다고 영어 잘하나?
코딩 몰라도 AI 만든다!

영문법을 잘 안다고 영어를 잘하는 건 아니다. 외국인을 만나 말 한마디 못 한다면 아무 소용이 없다. AI와 코딩도 마찬가지다. 코딩을 배우면 취업이 쉽고 높은 연봉을 받는다는 언론 보도가 많아지면서 많은 사람이 코딩을 배우려고 시도한다. 그러나 코딩을 열심히 공부했다고 해서 산업현장에서 사용할 수 있는 AI를 만드는 건 아니다. 단기간 코딩을 배워서는 실제로 일할 수준이 안되기 때문에 취업이나 창업에 별로 도움이 안 된다. 
이 책은 일반인의 시각에서 코딩 없이, 이른바 ‘노코딩’으로 AI를 만들어내는 방법을 설명한다. 어려운 코딩을 몰라도 훌륭한 AI 솔루션을 활용하고, 그것을 어떻게 산업 각 분야에 적용하는지 설명한다. AI 솔루션 학습을 통해 코딩하지 않고도 쉽게 AI 기술을 활용할 수 있다.

재직자와 문과생의 희망, 노코딩 AI
정부 기관에서 ICT 인력양성 연구위원으로 활동한 저자는 이 책에서 노코딩 기반의 AI 솔루션을 소개하며 코딩을 모르는 문과 출신과 관련 재직자들이 AI 기술을 활용하는데 필요한 태도, 지식, 기술을 함께 소개한다. 이 책은 왜 AI를 공부해야 하는지 현장의 경험을 녹여 들여다보고, 어떤 태도를 갖추어야 하는지, 또 어떤 지식과 기술을 학습해야 하는지 등 산업계 전반을 총 4부에 나눠 면밀하게 살핀다. 
기업은 소프트웨어 개발자도 필요하지만, 산업현장의 문제를 해결하고 새로운 부가가치를 생산할 수 있는 인재를 더 원한다. 코딩이 어렵거나 관심이 가지 않는 사람은 코딩보다 자신이 더 잘하는 것에 집중하는 것이 더 효과적이다. 저자는 다양한 산업과 직무 관련 교육훈련, 채용·배치·승진 시 개인의 역량을 검증하는 도구로서 현장 중심의 인재를 양성하기 위해 만든 국가직무능력표준에 근거해 AI 인재가 되기 위해 준비해야 할 태도, 지식, 기술을 소개한다.   
이 책은 문과생과 산업계 재직자들이 코딩을 배우기보다는 문제를 해결하는데 필요한 태도를 훈련하고 AI 솔루션을 활용해 AI 기술을 직접 체험해볼 것을 제안하고 있다. 또 AI 솔루션으로 산업 현장의 문제를 해결하는 데 어려움이 있을 때가 바로 코딩을 배울 타이밍이라고 설명한다."
6,AI는 나의 힘 (명주 어린이 미래 시리즈),https://search.shopping.naver.com/book/catalog/33006391618,https://shopping-phinf.pstatic.net/main_3300639/33006391618.20220622094103.jpg,임충열,11700,명주,20220620,9788969850188,"인공지능의 모든 것과 미래의 직업 이야기

인공지능의 원리와 역사, 인공지능의 현황, 세계 여러 나라의 인공지능, 인공지능과 함께 살아가기 위해 무엇을 준비해야 하는지 등 인공지능의 모든 것을 다루고 있는 어린이 과학 교양서. 인공지능을 근간으로 하는 미래의 직업에 대응하려면 어떻게 공부하고 진학해야 하는지에 대한 정보도 담고 있다."
7,"AI 상식사전 (인공지능, 전공은 아니지만 궁금했어요)",https://search.shopping.naver.com/book/catalog/32864453624,https://shopping-phinf.pstatic.net/main_3286445/32864453624.20220615093803.jpg,한규동,15910,길벗,20220614,9791140700073,"궁금했지만 배우고 싶지는 않았던 인공지능
비전공자도 이해할 수 있도록 상식 수준으로 풀어 설명합니다.

2016년 알파고와 이세돌의 대결 이후 인공지능과 딥러닝, 머신러닝이 유행처럼 번지고 있다. 하지만 인공지능이 무엇인지 설명할 수 있는 사람은 드물다. 이 책은 평소 인공지능에 대해 알고 싶지만 깊이 있게 공부하기에는 부담스러웠던 사람들을 위한 책이다. 따라서 복잡한 수식이나 어려운 프로그래밍 용어는 최대한 배제하고 인공지능을 최대한 알기 쉽게 설명한다. 전공은 아니지만 궁금했던 인공지능의 역사부터 인공 신경망, 머신러닝, 딥러닝 등 인공지능과 관련 기술의 개념, 기계 번역에 활용되는 언어 모델, 이미지 처리의 원리 등을 다양한 사례를 사용해 쉽고 재미있게 설명한다. 이 책을 덮는 순간부터 ‘아, 인공지능이요? 존 매카시가 다트머스 회의에서 처음 언급했죠.’라고 여유 있게 아는 척할 수 있다."
8,엔트리 인공지능 (AI블록코딩),https://search.shopping.naver.com/book/catalog/32495427731,https://shopping-phinf.pstatic.net/main_3249542/32495427731.20220527055829.jpg,창의코딩연구소,13500,해람북스(구 북스홀릭),20220525,9791165711740,"이 책은 블록형 코딩 프로그램인 ‘엔트리’의 인공지능 기능을 이용하여 인공지능과 관련된 다양한 작품을 쉽게 만들 수 있도록 구성하였습니다. Chapter의 도입부에 관련 인공지능 기능 및 문제 해결 과제를 한눈에 볼 수 있게 제시하여, 인공지능과 프로그래밍 개념, 알고리즘을 자연스럽게 받아들이도록 한 것이 특징입니다. 

① 따라하기 : 엔트리 블록 코딩을 경험한 학습자의 수준에 맞게 문제 해결 과제를 제시하여, 쉽게 따라할 수 있도록 구성하였습니다.
② 창의코딩 : 따라해 보며 배운 내용을 토대로 창의력을 발휘하여 작품을 더 만들어 볼 수 있도록 구성하였습니다. 
③ 종합/심화 : ‘① 따라하기+② 창의코딩’의 코딩 내용을 종합하여 작품을 만들어 볼 수 있도록 구성하였습니다."
9,AI와 사회 변화 (지금 우리는 무엇을 준비해야 하는가),https://search.shopping.naver.com/book/catalog/33119301619,https://shopping-phinf.pstatic.net/main_3311930/33119301619.20220630094656.jpg,소이경제사회연구소 AI연구회,16200,MID,20220624,9791190116688,"인공지능이 불러올 거대한 사회와 경제적 변화
우리는 어떻게 이를 준비할 수 있을 것인가?

지금은 바야흐로 ‘대 AI 시대’다. 세계적인 테크 기업들은 매일같이 더 실용적이고 강력한 인공지능을 만들기 위해 노력하고 있으며, 이 결과로 세상에는 인공지능을 통한 자동화 사례가 하루가 다르게 추가되고 있다. 단백질의 구조를 파악하고, 질병을 진단하고, 재테크에 조언을 주는 인공지능은 이미 현대인의 삶에 깊숙히 자리 잡았으며, 인류는 이제 이러한 변화 가운데 어떻게 미래를 준비해야 할 것인가에 대한 고민이 필요한 상황이다.
이를 위해 소이경제문화연구소의 AI연구회가 모였다. 사회, 경제, 산업, 금융, 교육의 전문가들은 지금 시대를 어떻게 진단하고 있을까? 앞으로 더욱 활짝 펼쳐질 AI의 시대에 인류는, 대한민국은 어떻게 대비하고 있고 또 어떻게 더 잘 대비할 수 있을까? AI연구회의 내로라하는 전문가들은 〈AI와 사회 변화〉를 통해 이에 대한 답을 제시한다.
이 책에서 이들은 일반인과 정책결정자들을 염두에 두고 AI란 무엇이며 향후 AI 기술 발전의 추세가 미래 우리 사회와 경제에 미치는 영향에는 어떤 것이 있는지를 조망해 보고자 한다. 그리고 우리나라에서 과연 AI 기술의 지속가능한 발전과 바람직한 활용을 위해 지금 우리가 어떤 준비를 해야하는지에 대해서도 살펴보고자 한다."
