,title,link,image,author,discount,publisher,pubdate,isbn,description
0,파이썬 머신러닝 완벽 가이드 (다양한 캐글 예제와 함께 기초 알고리즘부터 최신 기법까지 배우는),https://search.shopping.naver.com/book/catalog/32485894885,https://shopping-phinf.pstatic.net/main_3248589/32485894885.20220527043735.jpg,권철민,36000,위키북스,20220421,9791158393229,"자세한 이론 설명과 파이썬 실습을 통해 머신러닝을 완벽하게 배울 수 있습니다!

《파이썬 머신러닝 완벽 가이드》는 이론 위주의 머신러닝 책에서 탈피해, 다양한 실전 예제를 직접 구현해 보면서 머신러닝을 체득할 수 있도록 만들었습니다. 캐글과 UCI 머신러닝 리포지토리에서 난이도가 있는 실습 데이터를 기반으로 실전 예제를 구성했고, XGBoost, LightGBM, 스태킹 기법 등 캐글의 많은 데이터 사이언스에서 애용하는 최신 알고리즘과 기법을 상세하게 설명했습니다.

이번 개정2판에서는 최신 사이킷런 버전(1.0.2)을 포함해 책에서 사용되는 모든 라이브러리를 최신 버전으로 업그레이드한 실습 코드를 구현하고, 다양한 유형의 하이퍼파라미터를 가지는 XGBoost나 LightGBM 모델의 최적 하이퍼파라미터 튜닝을 위한 베이지안 최적화 기법 적용 실습을 제공합니다. 또한 머신러닝 관련 데이터 분석에 널리 쓰이는 시각화 라이브러리인 matplotlib과 seaborn의 활용법을 다룬 장을 새롭게 추가했습니다."
1,"핸즈온 머신러닝 (사이킷런, 케라스, 텐서플로 2를 활용한 머신러닝, 딥러닝 완벽 실무)",https://search.shopping.naver.com/book/catalog/32463455634,https://shopping-phinf.pstatic.net/main_3246345/32463455634.20220527084938.jpg,오렐리앙 제롱,49500,한빛미디어,20200504,9791162242964,"컬러판으로 돌아온 아마존 인공지능 분야 부동의 1위 도서

이 책은 지능형 시스템을 구축하려면 반드시 알아야 할 머신러닝, 딥러닝 분야 핵심 개념과 이론을 이해하기 쉽게 설명한다. 사이킷런, 케라스, 텐서플로를 이용해 실전에서 바로 활용 가능한 예제로 모델을 훈련하고 신경망을 구축하는 방법을 상세하게 안내한다. 장마다 제공하는 연습문제를 풀며 익힌 내용을 확인하고 응용할 수도 있다. 머신러닝을 배우고 싶지만 어디서부터 시작해야 할지 막막하다면, 이 책이 인공지능 마스터로 가는 길에 좋은 친구가 될 것이다. 2판은 텐서플로 2를 반영하고 비지도 학습, 자연어 처리, 생성적 적대 신경망(GAN) 등 최신 기법을 추가했다."
2,머신러닝 첫 단추 끼우기,https://search.shopping.naver.com/book/catalog/33300268619,https://shopping-phinf.pstatic.net/main_3330026/33300268619.20220708094822.jpg,오이석^권태희^양양^임주희^조민지,18000,홍릉,20220630,9791156000532,"대학 수학을 배우지 않았더라도, 고등학교 수학을 잘 배운 사람이라면 누구나 읽을 수 있도록 쓰여진 교재다. 2015년 개정 고등학교 수학 교육과정(미적분, 기하, 확률과 통계)에 해당하는 수학 지식을 가지고 있는 사람이 읽기 적당하다. 수록된 모든 프로그래밍 실습은 Python을 기반으로 한다. 실습은 친절한 주석과 부연 설명으로 이루어져 있으므로, Python에 능숙하지 않더라도 천천히 자신의 속도에 맞게 따라가며 학습할 수 있다."
3,혼자 공부하는 머신러닝+딥러닝 (1:1 과외하듯 배우는 인공지능 자습서),https://search.shopping.naver.com/book/catalog/32464073844,https://shopping-phinf.pstatic.net/main_3246407/32464073844.20220527025259.jpg,박해선,23400,한빛미디어,20201221,9791162243664,"혼자 해도 충분하다! 1:1 과외하듯 배우는 인공지능 자습서

이 책은 수식과 이론으로 중무장한 머신러닝, 딥러닝 책에 지친 ‘독학하는 입문자’가 ‘꼭 필요한 내용을 제대로’ 학습할 수 있도록 구성했다. 구글 머신러닝 전문가(Google ML expert)로 활동하고 있는 저자는 여러 차례의 입문자들과 함께한 머신러닝&딥러닝 스터디와 번역ㆍ집필 경험을 통해 ‘무엇을’ ‘어떻게’ 학습해야 할지 모르는 입문자의 막연함을 이해하고, 과외 선생님이 알려주듯 친절하게 핵심적인 내용을 콕콕 집어준다. 컴퓨터 앞에서 〈손코딩〉을 따라하고, 확인 문제를 풀다 보면 그간 어렵기만 했던 머신러닝과 딥러닝을 개념을 스스로 익힐 수 있을 것이다! 
 
- 베타리더가 함께 만든 입문서
베타리딩 과정을 통해 입문자에게 적절한 난이도, 분량, 학습 요소 등을 고민하고 반영했다. 어려운 용어와 개념은 한 번 더 풀어 쓰고, 복잡한 설명은 눈에 잘 들어오는 그림으로 풀어 냈다. ‘혼자 공부해본’ 여러 입문자의 마음과 눈높이가 책 곳곳에 반영된 것이 이 책의 가장 큰 장점이다."
4,"머신러닝(2학기, 워크북포함)",https://search.shopping.naver.com/book/catalog/33751852618,https://shopping-phinf.pstatic.net/main_3375185/33751852618.20220729091836.jpg,이관용^박혜영,20300,한국방송통신대학교출판문화원,20220714,9788920043314,"머신러닝 분야의 특정 주제를 심도 있게 다루기 보다는 머신러닝 전반에 걸쳐 접하거나 알아야 하는 내용을 소개하는 교재다. 즉, 기초적이고 전통적인 방법론부터 최신 기술에 이르기까지 다양한 방법론의 개념과 원리 및 그에 따른 기본적인 알고리즘을 최대한 체계적으로 다루려고 하였다."
5,머신러닝 배웠으니 활용해 볼까요?,https://search.shopping.naver.com/book/catalog/33844396121,https://shopping-phinf.pstatic.net/main_3384439/33844396121.20220803171215.jpg,강승우,18000,루나파인북스,20220801,9791197119996,"머신러닝 전문가를 꿈꾸는 학생부터 초보 실무자까지, 머신러닝 비즈니스에 관심 있는 모든 사람들을 위한 입문서. 총 네 가지 파트로 이루어져 있으며, 파트 1은 머신러닝의 기본 개념과 유형, 파트 2는 머신러닝 실무 적용 사례 소개, 파트 3는 미디어에서 접하는 AI 소식에 대한 다양한 생각, 파트 4는 저자의 머신러닝 공부 과정과 머신러닝 전망에 대한 생각을 서술한다.

가장 주목할 파트는 저자가 직접 수행한 머신러닝 프로젝트에서 겪었던 어려움과 이에 대한 대처가 담겨있는 2장이다. 여기에는 기술적인 내용뿐만 아니라 실무적 협의 과정 모두 생생히 녹아있다. 저자는 머신러닝 프로젝트가 실무에 성공적으로 사용되지 못한 원인 중 하나는 실제 업무에 머신러닝을 적용하는 적절한 안내서가 없다는 것이라고 지적한다. 

그 동안 한국에 존재한 머신러닝 관련 서적은 기술 중심이 대부분이었다. 기술을 업무에 도입하는 방법을 다루는 서적은 인공지능 분야 혹은 해외 원서 번역본만 존재했다. 그런 점에서 이 책은 제2장을 필두로 하여 업무에 머신러닝 도입을 다루는 유일무이한 서적이라는 점에서 가치를 지닌다."
6,금융 머신러닝 (이론에서 실전까지),https://search.shopping.naver.com/book/catalog/32491698669,https://shopping-phinf.pstatic.net/main_3249169/32491698669.20220527054253.jpg,릭 델리시^이고르 핼퍼린^폴 빌로콘,54000,에이콘출판,20220111,9791161755939,"머신러닝 방법을 금융에 도입하는 혁신적인 방법을 보여준다. 총 3부로 구성되며 각각 이론과 실전 응용을 다룬다. 1부는 베이지안과 빈도주의 각각의 관점에서 횡단면 데이터 분석을 위한 지도학습 방법론을 설명하고, 고급 기법인 가우시안 프로세스 및 딥러닝을 투자 관리와 파생상품 모델링에 적용하는 예제를 보여준다. 2부는 금융 시계열 데이터에 대한 다양한 지도학습 방법을 트레이딩과 확률적 변동성 및 고정소득 분석에 적용하는 것을 알려준다. 마지막으로 3부에서는 최첨단의 강화학습 및 역강화학습의 트레이딩, 투자 및 자산관리에의 응용을 제시한다. 결정적으로 마지막 장에서 미래 연구를 위해 금융에서의 머신러닝의 최첨단 분야를 제시하며 물리학과의 대통합을 시도한다. 이해를 돕기 위해 파이썬 코드 예제들을 제공한다."
7,자동머신러닝 (AutoML 창시자가 알려주는),https://search.shopping.naver.com/book/catalog/32452067898,https://shopping-phinf.pstatic.net/main_3245206/32452067898.20220527051434.jpg,프랭크 허터^라스 코토프^호아킨 반쇼렌,27000,에이콘출판,20211231,9791161755960,"머신러닝과 딥러닝의 민주화라는 모토하에 자동머신러닝이 급속히 발전하고 있다. 이 책은 자동머신러닝의 이론적 기반과 이를 구현하는 시스템의 작동 원리를 자동머신러닝의 창시자들이 제공하고 있다. 개념적으로는 자동머신의 3대 고전적 주제인 하이퍼파라미터 최적화, 메타러닝 및 신경망 구조 탐색(NAS)에 대한 심층적 탐구를 접할 것이며, 오토웨카, 하이퍼옵트 사이킷런, 오토 사이킷런 및 오토넷과 TROP 등의 실무에 도움이 되는 많은 소프트웨어의 관련성과 작동 원리를 이해하게 될 것이다. 추가로 자동머신러닝 챌린지 경연대회를 운영하면서 쌓은 노하우와 앞으로 해결해야 할 과제를 제시한다. 번역서에서는 최신연구 동향과 메타러닝을 이해를 돕기 위한 부록을 추가했다."
8,데이터 마이닝 4/e (실용적인 머신러닝 기술),https://search.shopping.naver.com/book/catalog/32486357719,https://shopping-phinf.pstatic.net/main_3248635/32486357719.20220527082010.jpg,마크 홀^아이베 프랭크^마크 홀^크리스토퍼 팔,45000,에이콘출판,20220531,9791161756424,"머신러닝의 기초와 실제 데이터 마이닝에 적용하는 방법을 알려준다. 특히 4판에서는 데이터 준비, 분석 결과 해석, 결과 평가, 성공적인 데이터 마이닝 접근 방식의 핵심인 알고리듬에 이르기까지 데이터 마이닝을 진행하기 위해 알아야 할 모든 것을 다룬다."
9,파이썬으로 배우는 머신러닝,https://search.shopping.naver.com/book/catalog/33234959621,https://shopping-phinf.pstatic.net/main_3323495/33234959621.20220708094134.jpg,김화종,23400,홍릉,20220624,9791156000440,"이 책은 기업 현장에서 디지털 전환(Digital Transformation), 인공지능(AI) 도입, 데이터 분석을 담당하는 실무자를 위한 학습서이다. 현업에서 이러한 업무를 수행하는데 가장 필요한 기술은 파이썬 프로그래밍과 머신러닝이나 이를 학습하는데 많은 시간을 투입해야 한다. 이 책은 최소한의 시간에 현업에서 필요한 파이썬과 머신러닝을 배울 수 있는 입문서이다.

독자들이 파이썬을 처음 배우는 것을 가정하여 파이썬의 기초부터 설명하였으며 특히 머신러닝의 주요 개념을 명확히 이해하는 것을 목표로 하였다. 무엇보다 실전에서 사용할 수 있는 핵심 예제들을 소개하였고 이를 바로 현업에서 활용하기 수월하도록 하였다"
