,title,link,image,author,discount,publisher,pubdate,isbn,description
0,한국인 이야기: 너 어떻게 살래 (인공지능에 그리는 인간의 무늬),https://search.shopping.naver.com/book/catalog/32917342626,https://shopping-phinf.pstatic.net/main_3291734/32917342626.20220614095658.jpg,이어령,17100,파람북,20220610,9791192265384,"지적 대장정의 종착지 ‘한국인 이야기’ 시리즈 세 번째 
창조의 아이콘 이어령이 펼치는 에이아이 유니버스!

‘AI 포비아’를 ‘AI 필리아’로 바꾸는 마법의 언어
인공지능과 한국의 미래 비전을 통찰하는 지성의 힘!

‘우리 시대의 지성’, ‘창조의 아이콘’ 이어령. 그가 삶을 마무리하며 천착했던 테마는 인공지능(AI)이다. 2016년 알파고의 등장 이후 영면에 들기까지 저자는 대부분의 시간을 AI에 대한 원고를 집필하는 데 몰두해왔다. 그 결과물 《너 어떻게 살래》가 ‘한국인 이야기’ 시리즈 세 번째 책으로 출간된다. 한국인의 ‘출생의 비밀’과 그 의미를 밝힌 《너 어디에서 왔니》, 젓가락에 담긴 한국인의 문화유전자를 조명한 《너 누구니》에 이은 책이다.
저자는 이미 60대부터 ‘산업화는 늦었지만 정보화는 앞서가자’는 슬로건을 내걸며 IT 강국의 정신적 기반을 다진 선각자였고, 70대에는 과학과 인문의 세계를 통섭하는 ‘디지로그 선언’으로 우리의 미래 비전을 제시하던 프런티어였다. 그뿐 아니다. 우리의 IT 기술을 이용해 새 밀레니엄의 첫새벽에 즈믄둥이의 출생을 전 세계에 생중계하고, 평창의 상공에 드론을 띄워 오륜기를 그리던 초유의 하이테크 연출가이자, 최신 디지털 장비라면 가장 먼저 사용해보는 ‘얼리어댑터’, 여러 IT 기업에 조언을 아끼지 않던 멘토이기도 했다.
《너 어떻게 살래》의 서두는 역시 AI에 대해 전국민적 관심과 공포를 불러일으켰던 사건, ‘알파고 쇼크’다. 인공지능이 인간을 소외시키고 말 것이라는 ‘AI 포비아’가 미디어를 잠식해갈 때, 그는 은거를 뒤로 미루고 일곱 대의 컴퓨터가 도열한 책상 앞에 다시 앉았다. ‘충격을 먹고 사는 민족’ 한국인들에게 AI를 이야기하기에 더없이 적절한 기회임을 직감했던 것이다.
저자는 아이들도 이해해야 한다는, 또는 아이들의 마음으로 접근해야만 인공지능 기술을 이해할 수 있다는 지론을 펼치며 동서양의 고전은 물론 인터넷 댓글부터 문명론까지 다양한 분야의 지식을 동원하여 이야기를 펼친다. 그 전개가 소설보다도 흥미진진하며 도처에서 무릎을 치게 한다. 책은 인공지능을 복잡하고 난해한 과학의 영역에서 구출해내 우리의 보편적 삶 위에 그 실체를 펼쳐낸다. 그러니 피상적인 지식에서 벗어나 총체적 이해를 가져다주는 AI 입문서이며, 기계와 생명의 본질을 살피고 그 관계의 의미를 톺아보는 AI 인문서이기도 한 셈이다. 
무엇보다 서양의 기계론적인 세계관으로는 풀 수 없는 ‘인간과 인공 사이’의 고차원방정식을 한국인 특유의 생명 의식과 동양의 인(仁)사상, 그리고 그것을 제일 잘 체현하는 한국인들에게서 해법을 도출해낸다는 데 이 책의 미덕이 있다. 동양과 서양, 인간과 문명, 기계와 생명, 시원과 미래를 연결하는 AI 스토리텔링의 최고봉, 4차 산업혁명의 파고에 맞서고 있는 우리가 21세기의 교과서로 삼을 만한 책이다."
1,Do it! 조코딩의 프로그래밍 입문 (복붙으로 다 끝낸다! HTML부터 인공지능까지!),https://search.shopping.naver.com/book/catalog/33341333649,https://shopping-phinf.pstatic.net/main_3334133/33341333649.20220712094400.jpg,조동근^김형태,16040,이지스퍼블리싱,20220718,9791163033875,"IT 분야 영향력 1위 유튜버!
42만 코린이가 열광한 조코딩!
HTML부터 인공지능 서비스까지
‘복붙’으로 다 끝내는 초고속 코딩 공부법!

드디어 누구나 쉽게 배울 수 있는 조코딩식 코딩 공부법을 담은 책이 나왔다. IT 비전공자에다가 코딩 적성이 맞지 않아 고민하던 그가 앱 스토어 차트 2위의 〈동물상 테스트〉 앱을 만든 비결은 무엇일까? 
조코딩의 초고속 코딩 학습법은 지루한 문법 중심이 아니다. 조코딩은 뚜렷한 목표를 세우고 작은 실습부터 〈동물상 테스트〉까지 성취감을 주며 진도를 나가므로 더욱 특별하다. 그는 ‘코딩은 복잡한 논리를 설계하는 것이 아니라, 인터넷에서 필요한 코드를 찾아 복붙(Ctrl+C, Ctrl+V)하는 것’이라고 말한다. 그러면 비전공자도 입문자도 재밌게 코딩을 시작할 수 있고 원하는 서비스를 빠르게 완성할 수 있다. 이렇게 코딩을 한번 경험하고 나면 중학생이라도 전체 개발의 큰 그림을 그릴 수 있다. 또한 개발자들의 외계어를 다 알아들을 수 있을 뿐 아니라 조코딩처럼 결과물을 쉽고 빠르게 만드는 법도 터득할 수 있다.
이 책은 HTML이나 자바스크립트로 구글 메인 화면을 똑같이 만들어 보거나 스타크래프트 게임 기능을 구현해 보면서 코딩의 기초를 배우고, 마지막에는 실제로 배포할 수 있는 〈동물상 테스트〉 만드는 과정을 실습한다. 책에 담긴 웹 서비스, 스마트폰 앱, 인공지능 앱 개발을 모두 실습하고 나면 IT 시대의 진정한 지식인이 된다. 코린이들이 공부하기 딱 좋은 시간은 지금이다. 왜냐고? 조코딩의 책이 나왔으니까!"
2,"내가 된다는 것 (데이터, 사이보그, 인공지능 시대에 인간 의식을 탐험하다)",https://search.shopping.naver.com/book/catalog/33162387675,https://shopping-phinf.pstatic.net/main_3316238/33162387675.20220630094658.jpg,아닐 세스,17820,흐름출판,20220630,9788965965169,"테드(TED) 강연 조회수 1,300만 뷰!
‘의식이란 무엇인가’라는 주제에 대한
가장 독창적이면서도 과감한 생각!

‘의식이란 무엇인가’라는 질문은 오늘날 신경과학이 핵심적으로 파고드는 문제 중 하나다. 이 주제는 과학이 발달한 오늘날에도 여전히 매우 추상적이며 미스터리한 영역으로 남아 있다. 심지어 의식은 인간의 인식으로는 이해 불가능한, 과학을 넘어선 영역으로까지 여겨지곤 한다. 《내가 된다는 것》은 불가해하고 난해하다고 여겨지는 의식이라는 주제를 참신한 관점으로 접근해 의식과학의 지평을 한층 더 확장시켰다는 평가를 받고 있는 세계적인 뇌과학자 아닐 세스의 최신작이다. 2017년, 의식에 관한 그의 테드 강연(https://www.ted.com/talks/anil_seth_your_brain_hallucinates_your_conscious_reality)은 누적 조회 수 1,300만 뷰를 달성할 만큼 열광적인 반응을 불러일으켰는데, 이 책은 이 화제의 테드 강연의 확장판이라고 볼 수 있다. 

이 책 전체를 관통하는 핵심 메시지 중 하나는 외부 세상과 우리 스스로에 대한 우리의 의식적 경험은 살아 있는 우리의 몸‘에서’, 우리의 몸을 ‘통해’, 그리고 우리의 몸 ‘때문에’ 발생하는 뇌 기반 예측이라는 사실이다. 다시 말해, 의식의 여부는 인지적 능력인 지능과 직접적인 관련이 없고, 오히려 ‘살아 숨 쉬는 유기체로서의 성질’(감각)과 더 깊은 관련이 있다는 것이다. 즉, 우리가 의식적 자기가 될 수 있는 이유가 바로 우리들이 ‘동물기계’이기 때문이다. 

자아의 본질 또는 의식은 이성적인 마음도, 비물질적 영혼도 아닌, 살아 있다는 감각을 뒷받침하는 생물학적 프로세스에 있다. ‘내가 된다’는 경험 또는 의식은 살아 있는 신체에 기반하며 매우 물질적인 토대를 가지고 있다. 생명이 곧 의식의 뿌리인 셈이다. 이 책 《내가 된다는 것》에는 의식을 둘러싼 참신한 관점뿐만 아니라 의식과학 분야에서 이루어지고 있는 흥미로운 실험들이 다수 실려 있다. 의식과학의 최전선에서 이루어지는 담론들이 궁금하다면 꼭 읽어야 하는 필수 교양 과학서다."
3,AI는 세상을 어떻게 바꾸는가 (장동선 박사의 인공지능 이야기),https://search.shopping.naver.com/book/catalog/32480521020,https://shopping-phinf.pstatic.net/main_3248052/32480521020.20220527053817.jpg,장동선,10350,김영사,20220131,9788934949213,"4차 산업혁명과 인공지능 시대, 우리의 삶은 어떻게 변할까
지식 라이브러리 〈굿모닝 굿나잇〉 ‘인공지능 편’

각 분야 최고의 학자와 연구자가 미래 세대를 위해 만든 〈굿모닝 굿나잇〉 시리즈 6번째 책, 《AI는 세상을 어떻게 바꾸는가》. 인공지능 기술의 역사와 발전, 기초 개념과 원리는 물론 사회 트렌드와 미래 예측까지 한 권에 담았다. 독일 막스플랑크 바이오사이버네틱스 연구소에서 박사학위를 받은 세계적 뇌과학자이자 과학 커뮤니케이터 장동선 박사의 스토리텔링을 통해 청소년부터 성인까지 읽을 수 있도록 재미와 지식 모두를 잡았다. 인간과 인공지능이 함께 살아가는 미래를 대비하는 필수 교양서. 

ㆍ 인공지능은 어떻게 태어나고 발전했을까?
ㆍ 인공지능에는 어떤 핵심 기술이 필요할까?
ㆍ SF 영화나 소설 속 상상들은 실제로 이루어질 수 있을까?
ㆍ 생각하는 로봇을 인간과 같은 생명으로 봐야 할까?
ㆍ 인공지능과 함께하는 미래는 유토피아일까?"
4,"AI는 양심이 없다 (인간의 죽음, 존재, 신뢰를 흔드는 인공지능 바로 보기)",https://search.shopping.naver.com/book/catalog/32463544009,https://shopping-phinf.pstatic.net/main_3246354/32463544009.20220527085249.jpg,김명주,16920,헤이북스,20220502,9791188366330,"인공지능에게 배신당하지 않고 살아가려면 어떻게 해야 할까?
“인공지능이 인류의 마지막 기술일 수 있다!”는 글로벌 리더들의 경고가 끊이지 않는다. 저자는 우리를 상대로 인공지능이 이미 흔들어대거나 조만간 흔들 이슈를 사례별로 정리하면서 인공지능에 의한 부작용과 역기능, 위험성을 모두 법으로 포괄해내기에는 인공지능의 발전 속도와 영역 확산으로 인해 불가능하다고 말한다. 미래에 인공지능에게 배신당하지 않고 함께 살아가려면 지금 방어적 준비로써 ‘인공지능 윤리’에 대한 사회적 담론을 제안한다. 네이버, 카카오, KT 등 국내 최고 IT 기업의 인공지능연구 책임자들이 ‘AI 윤리의 교과서, 필독서’라며 강력하게 이 책을 추천하고 있다."
5,인공지능 바이블 (인공지능에 대한 모든 것),https://search.shopping.naver.com/book/catalog/33275506620,https://shopping-phinf.pstatic.net/main_3327550/33275506620.20220709094535.jpg,조민호,25200,정보문화사,20220630,9788956749167,"단순한 기술자가 아닌 연구자가 되는 길!

이 책은 인공지능의 숲으로 여행을 떠나는 기분으로 시작한다. 필수적인 과정이 되어버린 인공지능에 대한 원리를 가장 쉽게 설명하고자 하므로 처음 시작하는 사람들이 전반적으로 이해하기 쉽도록 역할과 기능, 원리를 예제를 통해 풀어서 서술한다. 개념과 응용 분야 이후 핵심 기술을 설명하는 기본 원리를 지나면 기계학습과 기술의 응용 및 활용 부분으로 마무리하는 구성이다. 인공지능의 전체적인 모습을 보여주고, 어떤 식으로 발전해 왔는지 이해시키기 위한 목적이 있기 때문에 딥러닝 기반의 영상처리나 자연어 인식 등 다양한 분야를 공부할 때 이해의 폭이 넓어질 수 있다. 인공지능 기술의 발전 과정을 훑어본 다음 통계 기반 머신러닝, 지도학습, 비지도학습, 강화학습, 딥러닝 등의 기계 학습의 분야를 자세하게 살펴본다. 그리고 이미지와 음성 패턴 인식, 자연어 처리와 머신러닝, 지능 로봇 등 응용 분야에서의 활용도 알아보고 제스, 웨카, R, 파이썬 등 관련 도구까지 이해하며 마무리한다. 특히 파트별 참고 자료나 실습 내용, 요약을 정리하여 마무리하고 연습문제를 제공함으로써 본인의 실력이 향상됨을 지표로 체감할 수 있다."
6,인공지능시대와 인문치유 (주술 의술 예술에 대한 시론),https://search.shopping.naver.com/book/catalog/33179949622,https://shopping-phinf.pstatic.net/main_3317994/33179949622.20220702094930.jpg,김진국,14400,뜻밖에,20220701,9791197469473,"인공지능 같은 기계가 인간의 능력을 압도하는 시대에 ‘쓸모’라는 차원에서 제기되는 인간의 정체성에 대한 의문에 답을 찾고자 한다. 국내외 문학작품을 바탕으로 의학, 철학, 문학의 융합적 사고를 함으로써 첨단의·과학에 의해 생산, 유포되는 획일적 담론을 극복하고, 코로나19 대유행 이후의 대안을 제시한다."
7,교실 밖 인공지능 수업 (우리의 상상을 미래의 현실로 만들어가는 인공지능의 세계를 탐험하다),https://search.shopping.naver.com/book/catalog/33700896625,https://shopping-phinf.pstatic.net/main_3370089/33700896625.20220729093013.jpg,김금원,12480,궁리,20220725,9788958207788,"다가올 새로운 미래를 준비하는 청소년들을 위해 
IT전문가가 현장에서 들려주는 생생한 인공지능 강의!

그동안 『코딩책과 함께 보는 코딩 개념 사전』 『코딩책과 함께 보는 소프트웨어 개념 사전』 『엔트리 블록코딩 100제』 등을 펴내며, IT 지식이 이제 우리에게 ‘교양’임을 이야기하고 풍성한 정보를 제공해온 IT 전문가 김현정 작가가 『청소년을 위한 교실 밖 인공지능 수업』을 새롭게 펴냈다. 
 
우리나라는 2020년부터 모든 국민이 인공지능 교육을 받을 수 있도록 체계를 마련하고 있다. 2022년까지 초·중등교육에 인공지능이 필수 교과과정으로 들어가게 되고, 초등학교 선생님이 되기 위해서는 교육대학에서 인공지능 과목을 필수로 이수해야 한다. 또한 군 장병과 공무원 임용자는 ‘인공지능 소양교육’을 필수로 받아야 하고, 일반 국민 대상으로는 온·오프라인 인공지능 평생교육 기회를 제공한다고 한다.  

최근 들어 이렇게 인공지능 교육을 더욱 강조하는 이유는 무엇일까? 그 이유는 인공지능 기술을 중심으로 모든 산업이 서서히 변화하고 있기 때문이다. 실제로 인간의 역할을 대체할 수 있는 기술들이 발전하면서 무서운 속도로 인공지능 산업이 성장하고 있고, 그동안 전문직의 영역이라고 생각했던 직업군을 대체할 수 있는 수준까지 이르고 있다. 앞으로는 인공지능을 활용해 업무를 수행할 시대가 곧 올 것이기 때문에 우리 모두가 인공지능을 이해하고 활용하는 방법을 배워야 하는 시대에 살고 있는 것이다.
이 책은 크게 2개 파트로 구성되어 인공지능 개념과 함께 인공지능이 우리 생활 곳곳에서 어떻게 활용되는지를 소개하고 있다. 

파트1에서는 인공지능의 정의, 최초의 인공지능 테스트를 소개하고, 인공지능 역사 속에서 인간과 인공지능이 대결을 했던 기록들을 들려준다. 60년 전부터 인공지능 연구는 시작되었지만, 높은 기대에 못 미치는 성과 때문에 활동이 뜸해지면서, 이 분야 연구가 추운 겨울을 맞이하게 된 과정도 설명한다. 또한 기계학습과 인공신경망, 머신러닝과 딥러닝 등 인공지능 분야에서 자주 접할 수 있는 개념을 함께 살펴본다. 

파트2에서는 인공지능 때문에 달라지는 번역 서비스의 모습들, 텍스트를 음성으로 바꿔주는 TTS 기술에 대한 소개, 어떤 대상을 인식하는 객체 인식, 글자 인식 등 다양한 영역에서 어떻게 인공지능 기술이 활용되고 있는지를 소개하고 있다. 또한 인공지능이 발전함에 따라 우리의 삶이 감시 및 통제되는 건 아닌지에 대한 비판과 함께, 인공지능의 윤리를 올바르게 정립해야 하는 시기가 왔음을 강조한다. 마지막으로 엔트리에서 제공하는 인공지능 블록의 활용 사례를 공유한다.  

미래학자들은 인공지능을 잘 활용하는 사람과 기업이 기회를 얻을 수 있다고 말하기도 한다. 우리가 인공지능과 어떻게 공존할지, 인공지능을 어떻게 활용해야 하는지를 적극적으로 고민해볼 시점이 된 것은 분명하다."
8,인공지능 AI,https://search.shopping.naver.com/book/catalog/32497240058,https://shopping-phinf.pstatic.net/main_3249724/32497240058.20220527055352.jpg,윌리엄 포터,11700,우리동네책공장,20220430,9791187304302,"최신 과학의 시대가 왔다! 
인공지능 속에 숨은 놀라운 과학을 찾으러 출발!"
9,엔트리 인공지능 (AI블록코딩),https://search.shopping.naver.com/book/catalog/32495427731,https://shopping-phinf.pstatic.net/main_3249542/32495427731.20220527055829.jpg,창의코딩연구소,13500,해람북스(구 북스홀릭),20220525,9791165711740,"이 책은 블록형 코딩 프로그램인 ‘엔트리’의 인공지능 기능을 이용하여 인공지능과 관련된 다양한 작품을 쉽게 만들 수 있도록 구성하였습니다. Chapter의 도입부에 관련 인공지능 기능 및 문제 해결 과제를 한눈에 볼 수 있게 제시하여, 인공지능과 프로그래밍 개념, 알고리즘을 자연스럽게 받아들이도록 한 것이 특징입니다. 

① 따라하기 : 엔트리 블록 코딩을 경험한 학습자의 수준에 맞게 문제 해결 과제를 제시하여, 쉽게 따라할 수 있도록 구성하였습니다.
② 창의코딩 : 따라해 보며 배운 내용을 토대로 창의력을 발휘하여 작품을 더 만들어 볼 수 있도록 구성하였습니다. 
③ 종합/심화 : ‘① 따라하기+② 창의코딩’의 코딩 내용을 종합하여 작품을 만들어 볼 수 있도록 구성하였습니다."
