,title,link,description,bloggername,bloggerlink,postdate
0,"강남 언주역카페 <b>이디야</b> 커피랩, 주차 편한 카페 다녀왔어요~♪",https://blog.naver.com/aveav2317?Redirect=Log&logNo=222833973767,안녕하세요 ^^ 청주 후한의원입니다 오늘은 언주역에 위치한 <b>이디야</b>커피 본점에 다녀온 후기를 작성해보려 합니다 :) 언주역카페 <b>이디야</b>커피랩은 서울 강남구 논현로 <b>이디야</b>빌딩에 위치해있고 <b>이디야</b> 본사이자... ,후한의원 청주점,https://blog.naver.com/aveav2317,20220729
1,괜찮았던 <b>이디야</b> 메뉴 추천,https://blog.naver.com/brightenedu?Redirect=Log&logNo=222760670159,가끔씩 마시는 <b>이디야</b> 메뉴 중에 몇 가지를 추천해 볼까 하는데요. 에스프레소에 부드러운 크림을... 이러한 기존의 <b>이디야</b> 메뉴 외 한정 판매 시즌 음료는 배너를 통해 알 수 있으니 차근히 살펴보시면... ,김원장의 탐구생활,https://blog.naver.com/brightenedu,20220605
2,벚꽃 피는 4월에 딱 좋은 <b>이디야</b> 생딸기 와플 후기,https://nohji.com/4667?category=313585,있는 <b>이디야</b>로― 그동안 광고판에서만 보고 있던 메뉴를 한번 주문해서 먹어보기로 했다. ▲ <b>이디야</b> 김해 시청점 아마 <b>이디야</b>만 아니라 다른 카페 프랜차이즈 지점과 다양한 스낵 브랜드에서 3~4월이 된다면 봄을... ,노지의 소박한 이야기,https://nohji.com/,20220410
3,<b>이디야</b> 서오릉점 1인 팥빙수 맛있당,https://blog.naver.com/ioyungoi?Redirect=Log&logNo=222813970506,하면서 <b>이디야</b> 서오릉점 고고싱했습니다. 기분이 너무 안좋은 상태라서 아직도 진정이 되진 않지만... 차라리 고양시가 이렇게 맘 편함 <b>이디야</b> 서오릉점은 집갈 때 지나가다가 건물을 뚝딱뚝딱 짓고있는걸... ,토얌의 달콤살벌내블로그,https://blog.naver.com/ioyungoi,20220716
4,<b>이디야</b> 메뉴 빙수 1인 포장과 수박주스,https://blog.naver.com/love2dong?Redirect=Log&logNo=222803562944,<b>이디야</b> 메뉴 빙수 1인 포장과 수박주스 매일 7:30분-23시 (일요일 8시 오픈) Tel: 070-7767-2328 주차 가능 요즘 날씨 정말 무덥죠! 어제 퇴근길엔 시원한 디저트 맛보러 <b>이디야</b>에 들렀어요. 메뉴 살펴보면서 빙수 1인... ,오늘도 Sweet 하게❤,https://blog.naver.com/love2dong,20220707
5,서울구경 :: <b>이디야</b>커피랩에 다녀왔어요 <b>이디야</b>커피 강남카페,https://blog.naver.com/babypotato?Redirect=Log&logNo=222809931600,싶었던 <b>이디야</b>커피랩 을 가보기로하고 강남역에서 도보로 10여분정도 걸어가니 (길잘알 친구따라 졸졸 쫓아갔지요ㅋㅋ) 으리으리한 <b>이디야</b>커피랩건물이 보이더라구요^^ <b>이디야</b>커피랩 서울 강남구 언주로 85길... ,All is well ❤️,https://blog.naver.com/babypotato,20220713
6,<b>이디야</b> 북한강점 - 아이와 가기 좋은 남양주카페,https://blog.naver.com/rosy0001?Redirect=Log&logNo=222812627377,겸 <b>이디야</b> 북한강점에 왔어요!! 키즈공간이 있어서 어른들은 음료 마시며 쉴 수 있고 아이들은 신나게... 뚜찌씨 임신했을 때 펜션으로 여행 다녀오면서 집에 가는 길에 아쉬워서 들렸던 <b>이디야</b> 북한강점!! 거의... ,바날희님 블로그,https://blog.naver.com/rosy0001,20220715
7,경기 광주 신상 카페 <b>이디야</b>커피 광주역동점,https://blog.naver.com/hanyong386?Redirect=Log&logNo=222832753031,싶었는데 <b>이디야</b>가 오픈했어요. 기왕이면 체인점이 아닌 개성 있는 카페가 생겼으면 했었는데 아주 조금 아쉬웠어요. 규모는 제가 갔던 <b>이디야</b> 중 가장 규모가 큰 것 같습니다. good~ -접근성(버스정류장 1분... ,DOLLLAND,https://blog.naver.com/hanyong386,20220728
8,"<b>이디야</b>1인빙수, 파리바게트 빙수, 투썸플레이스 빙수 3종... ",https://blog.naver.com/oyj10244?Redirect=Log&logNo=222834249940,"후기입니다:) <b>이디야</b> 1인빙수 / 파리바게트 빙수 / 투썸플레이스 빙수 2022 여름 빙수 비교 개인적인 취향, 매장별로 퀄리티가 다를 수 있으니 꼭 꼭 참고하시길 바라요! &lt;&lt;<b>이디야</b>1인빙수&gt;&gt; <b>이디야</b>에서도 빙수가... ",Foodie 주주의 먹부림인생,https://blog.naver.com/oyj10244,20220730
9,<b>이디야</b>커피랩 : 논현동 언주역 카페 (주차 가능),https://blog.naver.com/daesuk217?Redirect=Log&logNo=222770965085,"논현동 언주역 카페 <b>이디야</b>커피랩 <b>이디야</b> 본사가 있는 <b>이디야</b>커피랩을 방문했습니다. 저가 브랜드라는 이미지가 강한 <b>이디야</b>인데, <b>이디야</b>커피랩은 다릅니다. 고급 져요. 발렛도 해줍니다. 논현동 언주역 카페... ",블루진의 기적노트,https://blog.naver.com/daesuk217,20220613
