,항공사,출발시간,도착시간,비행시간,항공금액(원),할인꿀팁,시간대,카드사
0,에어서울,06:00,07:00,01시간 00분,62900,KB국민카드 결제시 3% 청구할인,06,KB국민카드 
1,에어서울,06:00,07:00,01시간 00분,134000,삼성카드 결제시 3% 캐시백,06,삼성카드 
2,아시아나항공,06:05,07:15,01시간 10분,57000,"네이버페이 결제시 1%+1,500원 적립",06,네이버페이 
3,아시아나항공,06:05,07:15,01시간 10분,87000,삼성카드 결제시 3% 캐시백,06,삼성카드 
4,아시아나항공,06:05,07:15,01시간 10분,147000,삼성카드 결제시 3% 캐시백,06,삼성카드 
5,아시아나항공,06:05,07:15,01시간 10분,184000,삼성카드 결제시 3% 캐시백,06,삼성카드 
6,아시아나항공,06:10,07:20,01시간 10분,57000,"네이버페이 결제시 1%+1,500원 적립",06,네이버페이 
7,아시아나항공,06:10,07:20,01시간 10분,87000,삼성카드 결제시 3% 캐시백,06,삼성카드 
8,아시아나항공,06:10,07:20,01시간 10분,147000,삼성카드 결제시 3% 캐시백,06,삼성카드 
9,아시아나항공,06:10,07:20,01시간 10분,184000,삼성카드 결제시 3% 캐시백,06,삼성카드 
10,진에어,06:15,07:20,01시간 05분,62900,삼성카드 결제시 3.8% 캐시백,06,삼성카드 
11,제주항공,06:15,07:30,01시간 15분,133500,삼성카드 결제시 3% 캐시백,06,삼성카드 
12,진에어,06:15,07:20,01시간 05분,134000,삼성카드 결제시 3.8% 캐시백,06,삼성카드 
13,진에어,06:15,07:20,01시간 05분,189000,KB국민카드 결제시 4% 청구할인,06,KB국민카드 
14,에어서울,06:20,07:15,00시간 55분,54900,KB국민카드 결제시 3% 청구할인,06,KB국민카드 
15,티웨이항공,06:20,07:30,01시간 10분,55900,하나 신용/체크카드 결제시 3% 캐시백,06,하나 신용/체크카드 
16,에어서울,06:20,07:15,00시간 55분,62900,KB국민카드 결제시 3% 청구할인,06,KB국민카드 
17,티웨이항공,06:20,07:30,01시간 10분,132200,KB국민카드 결제시 4% 청구할인,06,KB국민카드 
18,에어서울,06:20,07:15,00시간 55분,134000,삼성카드 결제시 3% 캐시백,06,삼성카드 
19,제주항공,06:25,07:35,01시간 10분,60900,"네이버페이 결제시 1%+1,500원 적립",06,네이버페이 
20,아시아나항공,06:25,07:35,01시간 10분,63000,"네이버페이 결제시 1%+1,500원 적립",06,네이버페이 
21,제주항공,06:25,07:35,01시간 10분,64900,"네이버페이 결제시 1%+1,500원 적립",06,네이버페이 
22,아시아나항공,06:25,07:35,01시간 10분,87000,삼성카드 결제시 3% 캐시백,06,삼성카드 
23,제주항공,06:25,07:35,01시간 10분,133500,삼성카드 결제시 3% 캐시백,06,삼성카드 
24,제주항공,06:25,07:35,01시간 10분,133500,삼성카드 결제시 3% 캐시백,06,삼성카드 
25,아시아나항공,06:25,07:35,01시간 10분,147000,삼성카드 결제시 3% 캐시백,06,삼성카드 
