지역,일시,발전량,년,월,평균 기온,평균 이슬점온도,평균 상대습도,가조시간,합계 일조 시간,일강수량,평균 풍속,계절,실효습도
강원도,2017-01-01,154918.18,2017,1,1.9428571428571428,-3.392857142857143,70.82142857142857,9.62142857142857,5.064285714285715,0.0,1.4785714285714284,겨울,52.52741807142857
강원도,2017-01-02,104640.902,2017,1,4.235714285714286,-1.0,71.20714285714286,9.635714285714286,4.157142857142857,0.0285714285714285,2.0,겨울,54.839204357142854
강원도,2017-01-03,258526.982,2017,1,2.314285714285714,-6.342857142857143,58.15,9.635714285714286,7.392857142857143,0.0,1.8142857142857145,겨울,53.3268795
강원도,2017-01-04,259588.645,2017,1,2.657142857142857,-4.421428571428572,62.942857142857136,9.664285714285713,7.692857142857143,0.0,1.4142857142857144,겨울,53.474172642857134
강원도,2017-01-05,109151.179,2017,1,1.5785714285714287,-2.092857142857143,78.45714285714287,9.678571428571429,0.8928571428571429,4.392857142857143,1.4642857142857142,겨울,57.731675357142855
강원도,2017-01-06,277486.341,2017,1,2.857142857142857,-1.342857142857143,76.10714285714286,9.685714285714283,7.221428571428571,0.2071428571428571,0.9785714285714286,겨울,59.67342835714287
강원도,2017-01-07,229365.225,2017,1,2.4,-2.107142857142857,74.60000000000001,9.707142857142856,6.792857142857143,0.0357142857142857,1.0,겨울,60.56106450000001
강원도,2017-01-08,184832.572,2017,1,4.914285714285714,1.35,79.48571428571428,9.714285714285714,2.3000000000000003,1.4785714285714284,1.2785714285714285,겨울,63.3064782857143
강원도,2017-01-09,237155.964,2017,1,3.35,-4.792857142857143,57.58571428571429,9.735714285714286,6.9,0.2071428571428571,2.4785714285714286,겨울,58.41660728571429
강원도,2017-01-10,288140.698,2017,1,-1.871428571428572,-14.178571428571429,41.25714285714286,9.742857142857144,8.128571428571428,0.0,2.807142857142857,겨울,49.312880357142866
강원도,2017-01-11,338974.44,2017,1,-3.6571428571428575,-18.04285714285714,33.81428571428571,9.764285714285714,8.335714285714285,0.0,2.6,겨울,40.825903714285715
강원도,2017-01-12,267098.968,2017,1,-1.3857142857142857,-14.885714285714286,40.31428571428571,9.792857142857144,7.807142857142857,0.0071428571428571,3.4,겨울,36.91101171428571
강원도,2017-01-13,200601.80900000004,2017,1,-4.957142857142857,-16.821428571428573,40.771428571428565,9.80714285714286,5.864285714285714,0.0499999999999999,2.9857142857142853,겨울,34.061387571428575
강원도,2017-01-14,372595.004,2017,1,-8.342857142857143,-21.87857142857143,35.44285714285714,9.835714285714287,8.428571428571429,0.0,2.7857142857142856,겨울,31.572299142857144
