,지역,일시,발전량,년,월,계절
0,강원도,2017-01-01,154918.18,2017,01,봄
1,강원도,2017-01-02,104640.902,2017,01,봄
2,강원도,2017-01-03,258526.982,2017,01,봄
3,강원도,2017-01-04,259588.645,2017,01,봄
4,강원도,2017-01-05,109151.179,2017,01,봄
5,강원도,2017-01-06,277486.341,2017,01,봄
6,강원도,2017-01-07,229365.225,2017,01,봄
7,강원도,2017-01-08,184832.572,2017,01,봄
8,강원도,2017-01-09,237155.964,2017,01,봄
9,강원도,2017-01-10,288140.698,2017,01,봄
10,강원도,2017-01-11,338974.44,2017,01,봄
11,강원도,2017-01-12,267098.968,2017,01,봄
12,강원도,2017-01-13,200601.809,2017,01,봄
13,강원도,2017-01-14,372595.004,2017,01,봄
14,강원도,2017-01-15,372164.376,2017,01,봄
15,강원도,2017-01-16,346700.63,2017,01,봄
16,강원도,2017-01-17,298833.378,2017,01,봄
17,강원도,2017-01-18,183370.423,2017,01,봄
18,강원도,2017-01-19,276284.931,2017,01,봄
19,강원도,2017-01-20,27179.082000000002,2017,01,봄
20,강원도,2017-01-21,77521.87299999999,2017,01,봄
21,강원도,2017-01-22,256489.58800000002,2017,01,봄
22,강원도,2017-01-23,289600.141,2017,01,봄
23,강원도,2017-01-24,331956.068,2017,01,봄
24,강원도,2017-01-25,350389.841,2017,01,봄
25,강원도,2017-01-26,266402.361,2017,01,봄
26,강원도,2017-01-27,363493.892,2017,01,봄
27,강원도,2017-01-28,315564.108,2017,01,봄
28,강원도,2017-01-29,31418.137000000002,2017,01,봄
29,강원도,2017-01-30,54319.297,2017,01,봄
30,강원도,2017-01-31,132779.28399999999,2017,01,봄
31,강원도,2017-02-01,371209.995,2017,02,봄
32,강원도,2017-02-02,425504.914,2017,02,봄
33,강원도,2017-02-03,342211.862,2017,02,봄
34,강원도,2017-02-04,233812.613,2017,02,봄
35,강원도,2017-02-05,110510.318,2017,02,봄
36,강원도,2017-02-06,365702.458,2017,02,봄
37,강원도,2017-02-07,231329.934,2017,02,봄
38,강원도,2017-02-08,204359.932,2017,02,봄
39,강원도,2017-02-09,361742.776,2017,02,봄
40,강원도,2017-02-10,430138.427,2017,02,봄
41,강원도,2017-02-11,463019.771,2017,02,봄
42,강원도,2017-02-12,462259.453,2017,02,봄
43,강원도,2017-02-13,403318.13,2017,02,봄
44,강원도,2017-02-14,418670.085,2017,02,봄
45,강원도,2017-02-15,384047.064,2017,02,봄
46,강원도,2017-02-16,421374.16,2017,02,봄
47,강원도,2017-02-17,410889.49199999997,2017,02,봄
48,강원도,2017-02-18,456525.60699999996,2017,02,봄
49,강원도,2017-02-19,239509.12,2017,02,봄
50,강원도,2017-02-20,415036.222,2017,02,봄
51,강원도,2017-02-21,463009.647,2017,02,봄
52,강원도,2017-02-22,68394.167,2017,02,봄
53,강원도,2017-02-23,372219.462,2017,02,봄
54,강원도,2017-02-24,514470.655,2017,02,봄
55,강원도,2017-02-25,457164.561,2017,02,봄
56,강원도,2017-02-26,429660.892,2017,02,봄
57,강원도,2017-02-27,442361.52,2017,02,봄
58,강원도,2017-02-28,461792.014,2017,02,봄
59,강원도,2017-03-01,186445.631,2017,03,봄
60,강원도,2017-03-02,107241.486,2017,03,봄
61,강원도,2017-03-03,464812.847,2017,03,봄
62,강원도,2017-03-04,478170.46,2017,03,봄
63,강원도,2017-03-05,325546.452,2017,03,봄
64,강원도,2017-03-06,446921.264,2017,03,봄
65,강원도,2017-03-07,558706.463,2017,03,봄
66,강원도,2017-03-08,468505.30700000003,2017,03,봄
67,강원도,2017-03-09,424439.22,2017,03,봄
68,강원도,2017-03-10,544216.895,2017,03,봄
