"행정구역","2022년06월_총인구수","2022년06월_세대수","2022년06월_세대당 인구","2022년06월_남자 인구수","2022년06월_여자 인구수","2022년06월_남여 비율"
"서울특별시  (1100000000)","9,494,807","4,464,840","          2.13","4,605,655","4,889,152","          0.94"
"서울특별시 종로구 (1111000000)","143,624","73,728","          1.95","69,513","74,111","          0.94"
"서울특별시 중구 (1114000000)","122,088","63,958","          1.91","59,364","62,724","          0.95"
"서울특별시 용산구 (1117000000)","222,263","111,860","          1.99","106,743","115,520","          0.92"
"서울특별시 성동구 (1120000000)","283,821","134,327","          2.11","138,162","145,659","          0.95"
"서울특별시 광진구 (1121500000)","339,893","169,856","          2.00","163,920","175,973","          0.93"
"서울특별시 동대문구 (1123000000)","337,330","169,931","          1.99","166,348","170,982","          0.97"
"서울특별시 중랑구 (1126000000)","388,509","188,188","          2.06","191,433","197,076","          0.97"
"서울특별시 성북구 (1129000000)","433,559","198,089","          2.19","208,790","224,769","          0.93"
"서울특별시 강북구 (1130500000)","296,653","145,048","          2.05","144,154","152,499","          0.95"
"서울특별시 도봉구 (1132000000)","314,791","139,076","          2.26","153,014","161,777","          0.95"
"서울특별시 노원구 (1135000000)","508,066","218,637","          2.32","244,387","263,679","          0.93"
"서울특별시 은평구 (1138000000)","473,674","216,455","          2.19","226,148","247,526","          0.91"
"서울특별시 서대문구 (1141000000)","305,623","145,517","          2.10","145,663","159,960","          0.91"
"서울특별시 마포구 (1144000000)","367,584","181,138","          2.03","172,569","195,015","          0.88"
"서울특별시 양천구 (1147000000)","444,548","181,987","          2.44","217,704","226,844","          0.96"
"서울특별시 강서구 (1150000000)","573,045","274,301","          2.09","275,233","297,812","          0.92"
"서울특별시 구로구 (1153000000)","394,850","182,172","          2.17","194,304","200,546","          0.97"
"서울특별시 금천구 (1154500000)","231,565","119,627","          1.94","116,811","114,754","          1.02"
"서울특별시 영등포구 (1156000000)","376,437","188,759","          1.99","185,460","190,977","          0.97"
"서울특별시 동작구 (1159000000)","385,898","187,380","          2.06","186,506","199,392","          0.94"
"서울특별시 관악구 (1162000000)","486,946","281,423","          1.73","244,722","242,224","          1.01"
"서울특별시 서초구 (1165000000)","407,672","169,518","          2.40","194,819","212,853","          0.92"
"서울특별시 강남구 (1168000000)","531,777","234,885","          2.26","254,333","277,444","          0.92"
"서울특별시 송파구 (1171000000)","662,961","286,119","          2.32","319,397","343,564","          0.93"
"서울특별시 강동구 (1174000000)","461,630","202,861","          2.28","226,158","235,472","          0.96"
