statusCode,statusMessage,croppingSerlNo,croppingSeasonName,croppingDate,croppingEndDate,croppingSystem,itemCode,cultivationArea,calCultivationArea,plantNum,calPlantNum,stemSlabNum,planSlabNum,plantDensity,standardPlantDensity,floodlightDec,leafArea,stndTemp,stndWeight,stndSolar,stndMeta,userId
0.0,NORMAL_CODE,,,,,,,,,,,,,,,,,,,,,LSDS_001
0.0,NORMAL_CODE,,,,,,,,,,,,,,,,,,,,,LSDS_002
0.0,NORMAL_CODE,,,,,,,,,,,,,,,,,,,,,LSDS_003
0.0,NORMAL_CODE,,,,,,,,,,,,,,,,,,,,,LSDS_005
0.0,NORMAL_CODE,,,,,,,,,,,,,,,,,,,,,LSDS_006
0.0,NORMAL_CODE,79.0,데프니스_20150902,2015-09-02 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,1180.0,3894.0,9504.0,2.73,4.0,4.0,2.44,2.5,0.8,0.0,20.0,180.0,150.0,130.0,PFS_0000001
,,4940.0,2021년 토마토,2021-09-13 00:00:00,2022-07-30 00:00:00,,80300.0,1784.75,5900.0,9840.0,0.6000000000000001,,,,,,,,,,,PFS_0000001
,,5957.0,2022년_토마토,2022-09-21 00:00:00,2023-07-25 00:00:00,,80300.0,1784.75,5900.0,12000.0,0.5,,,,,,,,,,,PFS_0000001
0.0,NORMAL_CODE,80.0,다볼_20150714,2015-07-14 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3400.0,11220.0,26544.0,2.73,4.0,4.0,2.37,2.5,0.7000000000000001,0.0,20.0,180.0,150.0,150.0,PFS_0000002
0.0,NORMAL_CODE,81.0,데프니스_20150902,2015-09-02 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,1500.0,4950.0,11860.0,2.73,2.0,4.0,2.4,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PFS_0000003
0.0,NORMAL_CODE,82.0,데프니스_20150720,2015-07-20 00:00:00,2016-06-30 00:00:00,B0004000000000000002,80300.0,1200.0,3973.0,9359.0,2.73,5.0,5.0,2.36,2.5,0.65,0.0,18.0,180.0,100.0,130.0,PFS_0000004
0.0,NORMAL_CODE,83.0,시로코_20150718,2015-07-18 00:00:00,2016-06-30 00:00:00,B0004000000000000002,132600.0,2803.0,9266.0,29930.0,2.73,5.0,5.0,6.32,2.5,0.65,0.0,18.0,180.0,100.0,130.0,PFS_0000005
