,Q,A
0,서울 강남구 삼성동,"병원명은 (의)미래의료재단리드림의원 주소는 서울특별시 강남구 테헤란로 513, (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4) 전화번호는 02-540-0001 입니다."
1,서울 강남구 대치동,"병원명은 365열린가정의학과의원 주소는 서울특별시 강남구 도곡로 405, 삼환 아르누보2 204호 (대치동) 전화번호는 02-565-7119 입니다."
2,서울 강남구 논현동,"병원명은 365코이이비인후과의원 주소는 서울특별시 강남구 강남대로118길 12, 부경빌딩 5층 (논현동) 전화번호는 02-2540-0442 입니다."
3,서울 강남구 삼성동,"병원명은 가온경희한의원 주소는 서울특별시 강남구 선릉로 654, 예인빌딩 401호 (삼성동) 전화번호는 02-3443-6789 입니다."
4,서울 강남구 삼성동,"병원명은 강남365가정의학과의원 주소는 서울특별시 강남구 학동로 346, 강남구청역 지하1층 102호 (삼성동) 전화번호는 02-3442-7668 입니다."
5,서울 강남구 대치동,"병원명은 강남더드림병원 주소는 서울특별시 강남구 선릉로 404, 더드림병원 (대치동) 전화번호는 02-1661-1177 입니다."
6,서울 강남구 자곡동,"병원명은 강남드림내과의원 주소는 서울특별시 강남구 자곡로 120, 세곡드림프라자 403, 404, 405호 (자곡동) 전화번호는 02-459-9777 입니다."
7,서울 강남구 대치동,"병원명은 강남바른내과의원 주소는 서울특별시 강남구 선릉로 324, SH타워 4층 (대치동) 전화번호는 02-6232-7500 입니다."
8,서울 강남구 역삼동,"병원명은 강남박내과의원 주소는 서울특별시 강남구 강남대로84길 8, 우인빌딩 2층 (역삼동) 전화번호는 02-6318-8800 입니다."
9,서울 강남구 도곡동,"병원명은 강남베드로병원 주소는 서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동) 전화번호는 1544-7522 입니다."
10,서울 강남구 역삼동,"병원명은 강남삼성드림이비인후과의원 주소는 서울특별시 강남구 강남대로 372, (역삼동, FINE TOWER) 전화번호는 02-539-0365 입니다."
11,서울 강남구 논현동,"병원명은 강남삼성조내과의원 주소는 서울특별시 강남구 봉은사로 111, 7층 (논현동) 전화번호는 02-546-8004 입니다."
12,서울 강남구 개포동,"병원명은 강남성모내과의원 주소는 서울특별시 강남구 개포로 615, 4층 402-2호 (개포동, 석탑프라자) 전화번호는 02-459-0105 입니다."
13,서울 강남구 역삼동,"병원명은 강남성모이비인후과의원 주소는 서울특별시 강남구 강남대로 334, (역삼동, 6층일부) 전화번호는 02-552-5400 입니다."
14,서울 강남구 도곡동,"병원명은 강남아이누리한의원 주소는 서울특별시 강남구 선릉로 225, 도곡렉슬상가 304호 (도곡동) 전화번호는 02-6929-1073 입니다."
15,서울 강남구 역삼동,"병원명은 강남연세소아과의원 주소는 서울특별시 강남구 역삼로 310, 한솔필리아 222호 (역삼동) 전화번호는 02-508-2776 입니다."
16,서울 강남구 논현동,"병원명은 강남연세이비인후과의원 주소는 서울특별시 강남구 선릉로 703, HS TOWER 2층 (논현동) 전화번호는 02-511-5075 입니다."
17,서울 강남구 역삼동,"병원명은 강남연세인의원 주소는 서울특별시 강남구 테헤란로4길 40, (역삼동, 신소애빌딩 3층일부) 전화번호는 02-415-8278 입니다."
18,서울 강남구 논현동,"병원명은 강남와이케이병원 주소는 서울특별시 강남구 학동로 233, 디와이빌딩 3층일부,4~6층 (논현동) 전화번호는 02-6967-8200 입니다."
19,서울 강남구 개포동,"병원명은 강남우리집의원 주소는 서울특별시 강남구 개포로 229, 정원빌딩 2층 4호 (개포동) 전화번호는 02-2291-8885 입니다."
20,서울 강남구 자곡동,"병원명은 강남원의원 주소는 서울특별시 강남구 자곡로 180, 강남유탑유블레스 1층 109, 109-2호 (자곡동) 전화번호는 02-6927-1655 입니다."
21,서울 강남구 도곡동 ,"병원명은 강남유나이티드병원 주소는 서울특별시 강남구 남부순환로 2609, 하늘빌딩, 7~12층 (도곡동) (도곡동) 전화번호는 1644-0075 입니다."
22,서울 강남구 논현동,"병원명은 강남지인병원 주소는 서울특별시 강남구 언주로 631, 강남웨딩홀 지하2,2~6층 (논현동) 전화번호는 02-6985-4119 입니다."
